star period
RR01 0.49335977999999825
RR02 0.606079948
RR03 0.4422827487
RR04 0.5736918
RR05 0.38992419000000134
RR06 0.7227589999999999
RR07 0.55302947
RR08 0.3776
RR09 0.823109
RR10 0.495432
RR11 0.623415499999999
RR12 0.6511814800000001
RR13 0.7139027600000017
RR14 0.4255984131
RR15 0.5872491659999975
RR16 0.5699120000000001
RR17 0.5814762
RR18 0.3972921170000003
RR19 0.7341953050000003
RR20 0.26704234
RR21 0.285598563573051
RR22 0.4805505
RR23 0.5634483999999996
RR24 0.5974313880000001
RR25 0.303334312
RR26 0.5372208970000016
RR27 0.3247339999999999
RR28 0.4524047999999992
RR29 0.5377236999999999
RR30 0.5741164622
RR31 0.41201459
RR32 0.5576580000000002
RR33 0.6263371699999998
RR34 0.660425757499997
RR35 0.363311500000013
RR36 0.4779833
RR37 0.4755751762999987
RR38 0.5995849999999998
RR39 0.5687443732999938
RR40 0.405754667
RR41 0.4785509500000002
RR42 0.5257791000000012
RR43 0.6150972999999992
RR44 0.3431157279999998
RR45 0.30713062900000015
RR46 0.4686698260000004
RR47 0.32903749999999976
RR48 0.6508397249999924
RR49 0.5517558000000005
RR50 0.31229209999999974
RR51 0.4108132449999998
RR52 0.4837392999999998
RR53 0.3773372530000003
RR54 0.5322642459999993
RR55 0.3403579650000001
RR56 0.259473
RR57 0.6223027999999985
RR58 0.7140850000000021
RR59 0.5220735999999998
RR60 0.48756030000000006
RR61 0.3312533000000001
RR62 0.3970242650000003
RR63 0.44899736000000007
RR64 0.4553579200000001
RR65 0.44033138999999993
RR66 0.3995997500000001
RR67 0.7195845000000002
RR68 0.4409045
RR69 0.4113845199999999
RR70 0.5112423
RR71 0.47650600000000026
RR72 0.5920765000000004
RR73 0.566772554899999
RR74 0.594132
RR75 0.47747883
RR76 0.46659616980000035
RR77 0.57802054
RR78 0.36178790000000005
RR79 0.4726068369
RR80 0.56070478
RR81 0.44774401
RR82 0.4593
RR83 0.586934
RR84 0.2734563
RR85 0.41986
RR86 0.4671382
RR87 0.3903911825
RR88 0.363703
RR89 0.2555053511
RR90 0.3086597499
RR91 0.640993
RR92 0.63376
RR93 0.4818713
RR94 1.467365
RR95 0.37119
CC01 3.878
CC02 6.167
CC03 6.845
CC04 5.634
CC05 2.489
CC06 5.08
CC07 7.923
CC08 3.564
CC09 3.969
CC10 4.729
CC11 2.382
CC12 4.339
CC13 3.706
CC14 4.159
CC15 4.716
CC16 26.08
CC17 4.373
CC18 3.407
CC19 7.291
CC20 3.618
CC21 2.945
CC22 28.88
CC23 5.364
CC24 8.523
CC25 12.72
CC26 7.305
CC27 10.879
CC28 4.803
CC29 7.306
CC30 7.101
CC31 5.855
CC32 5.766
CC33 11.601
CC34 3.861
CC35 22.341
CC36 33.458
CC37 12.981
CC38 4.59
CC39 48.764
CC40 4.945
CC41 6.012
CC42 24.021
CC43 5.856
CC44 10.299
CC45 11.561
CC46 34.222
CC47 6.531
CC48 18.361
CC49 3.128
CC50 17.902
CC51 40.198
CC52 6.512
CC53 5.974
CC54 5.594
CC55 4.936
CC56 12.221
CC57 8.726
CC58 14.481
CC59 6.386
CC60 5.471
CC61 3.872
CC62 3.569
CC63 5.058
CC64 4.67
CC65 2.997
CC66 3.435
CC67 4.315
CC68 2.71
CC69 6.703
CC70 5.317
CC71 4.352
CC72 5.77
CC73 2.99
CC74 3.697
CC75 5.434
CC76 3.872
CC149 3.35995
CC151 2.16354
CC152 9.2575
CC153 4.15878
CC154 26.0952
CC155 4.37214
CC156 4.91045
CC157 1.99576
CC158 2.58838
CC178 8.01493
CC177 7.42825
CC175 8.70213
CC176 5.45648
CC166 4.91031
CC171 4.66218
CC173 7.45741
CC174 7.09699
CC159 11.6258
CC163 2.10232
CC169 15.2347
CC170 7.56693
CC168 8.61652
CC160 8.00243
CC161 10.1447
CC167 11.3016
CC172 3.788
CC162 18.1891
CC164 6.76237
CC165 7.8485
CC179 21.8533
CC180 3.09081
CC181 7.41611
CC182 17.1421
CC183 19.7043
CC184 11.0541
CC185 9.99392
CC186 12.9023
CC187 7.5077
CC188 9.55379
CC189 6.411
CC190 7.30418
CC191 17.1413
CC192 6.80708
CC193 6.11427
CC194 13.4434
CC195 7.47673
CC196 3.84554
CC197 15.1177
CC198 10.1419
CC199 4.43554
CC200 20.1344
CC201 14.7071
CC202 5.25759
CC203 3.33282
CC204 2.11409
CC255 18.15
CC256 11.0902
CC257 26.7001
CC258 36.1389
CC259 23.3672
CC260 15.3673
CC261 17.6241
CC262 40.0109
CC263 40.0109
CC264 40.0109
GAIA01 0.6305541419713157
GAIA02 0.6390098988575509
GAIA03 0.3567193382614073
GAIA04 0.39316886576726784
