i,star,start_time,end_time,exposure_time
0,V* V732 Her,2024-10-02 20:08:19.439,2024-10-02 20:08:44.439,25.0
1,V* V732 Her,2024-10-02 20:08:44.439,2024-10-02 20:09:09.439,25.0
2,V* V732 Her,2024-10-02 20:09:09.439,2024-10-02 20:09:34.439,25.0
3,V* V732 Her,2024-10-02 20:09:34.439,2024-10-02 20:09:59.439,25.0
4,V* V732 Her,2024-10-02 20:09:59.439,2024-10-02 20:10:24.439,25.0
5,V* V732 Her,2024-10-02 20:10:24.439,2024-10-02 20:10:49.439,25.0
6,V* V732 Her,2024-10-02 20:10:49.439,2024-10-02 20:11:14.439,25.0
7,V* V732 Her,2024-10-02 20:11:14.439,2024-10-02 20:11:39.439,25.0
8,V* V732 Her,2024-10-02 20:11:39.439,2024-10-02 20:12:04.439,25.0
9,V* V732 Her,2024-10-02 20:12:04.439,2024-10-02 20:12:29.439,25.0
10,V* V732 Her,2024-10-02 20:12:29.439,2024-10-02 20:12:54.439,25.0
11,V* V732 Her,2024-10-02 20:12:54.439,2024-10-02 20:13:19.439,25.0
12,V* V732 Her,2024-10-02 20:13:19.439,2024-10-02 20:13:44.439,25.0
13,V* V732 Her,2024-10-02 20:13:44.439,2024-10-02 20:14:09.439,25.0
14,V* V732 Her,2024-10-02 20:14:09.439,2024-10-02 20:14:34.439,25.0
15,V* V732 Her,2024-10-02 20:14:34.439,2024-10-02 20:14:59.439,25.0
16,V* V732 Her,2024-10-02 20:14:59.439,2024-10-02 20:15:24.439,25.0
17,V* V732 Her,2024-10-02 20:15:24.439,2024-10-02 20:15:49.439,25.0
18,V* V732 Her,2024-10-02 20:15:49.439,2024-10-02 20:16:14.439,25.0
19,V* V732 Her,2024-10-02 20:16:14.439,2024-10-02 20:16:39.439,25.0
20,V* V732 Her,2024-10-02 20:16:39.439,2024-10-02 20:17:04.439,25.0
21,V* V732 Her,2024-10-02 20:17:04.439,2024-10-02 20:17:29.439,25.0
22,V* V732 Her,2024-10-02 20:17:29.439,2024-10-02 20:17:54.439,25.0
23,V* V732 Her,2024-10-02 20:17:54.439,2024-10-02 20:18:19.439,25.0
24,V* V732 Her,2024-10-02 20:18:19.439,2024-10-02 20:18:44.439,25.0
25,V* V732 Her,2024-10-02 20:18:44.439,2024-10-02 20:19:09.439,25.0
26,V* V732 Her,2024-10-02 20:19:09.439,2024-10-02 20:19:34.439,25.0
27,V* V732 Her,2024-10-02 20:19:34.439,2024-10-02 20:19:59.439,25.0
28,V* V732 Her,2024-10-02 20:19:59.439,2024-10-02 20:20:24.439,25.0
29,V* V732 Her,2024-10-02 20:20:24.439,2024-10-02 20:20:49.439,25.0
30,V* V732 Her,2024-10-02 20:20:49.439,2024-10-02 20:21:14.439,25.0
31,V* V732 Her,2024-10-02 20:21:14.439,2024-10-02 20:21:39.439,25.0
32,V* V732 Her,2024-10-02 20:21:39.439,2024-10-02 20:22:04.439,25.0
33,V* V732 Her,2024-10-02 20:22:04.439,2024-10-02 20:22:29.439,25.0
34,V* V732 Her,2024-10-02 20:22:29.439,2024-10-02 20:22:54.439,25.0
35,V* V732 Her,2024-10-02 20:22:54.439,2024-10-02 20:23:19.439,25.0
36,V* V732 Her,2024-10-02 20:23:19.439,2024-10-02 20:23:44.439,25.0
37,V* V732 Her,2024-10-02 20:23:44.439,2024-10-02 20:24:09.439,25.0
38,V* V732 Her,2024-10-02 20:24:09.439,2024-10-02 20:24:34.439,25.0
39,V* V732 Her,2024-10-02 20:24:34.439,2024-10-02 20:24:59.439,25.0
40,V* V732 Her,2024-10-02 20:24:59.439,2024-10-02 20:25:24.439,25.0
41,V* V732 Her,2024-10-02 20:25:24.439,2024-10-02 20:25:49.439,25.0
42,V* V732 Her,2024-10-02 20:25:49.439,2024-10-02 20:26:14.439,25.0
43,V* V732 Her,2024-10-02 20:26:14.439,2024-10-02 20:26:39.439,25.0
44,V* V732 Her,2024-10-02 20:26:39.439,2024-10-02 20:27:04.439,25.0
45,V* V732 Her,2024-10-02 20:27:04.439,2024-10-02 20:27:29.439,25.0
46,V* V732 Her,2024-10-02 20:27:29.439,2024-10-02 20:27:54.439,25.0
47,V* V732 Her,2024-10-02 20:27:54.439,2024-10-02 20:28:19.439,25.0
48,V* V732 Her,2024-10-02 20:28:19.439,2024-10-02 20:28:44.439,25.0
49,V* V732 Her,2024-10-02 20:28:44.439,2024-10-02 20:29:09.439,25.0
50,V* V732 Her,2024-10-02 20:29:09.439,2024-10-02 20:29:34.439,25.0
51,V* V732 Her,2024-10-02 20:29:34.439,2024-10-02 20:29:59.439,25.0
52,V* V732 Her,2024-10-02 20:29:59.439,2024-10-02 20:30:24.439,25.0
53,V* V732 Her,2024-10-02 20:30:24.439,2024-10-02 20:30:49.439,25.0
54,V* V732 Her,2024-10-02 20:30:49.439,2024-10-02 20:31:14.439,25.0
55,V* V732 Her,2024-10-02 20:31:14.439,2024-10-02 20:31:39.439,25.0
56,V* V732 Her,2024-10-02 20:31:39.439,2024-10-02 20:32:04.439,25.0
57,V* V732 Her,2024-10-02 20:32:04.439,2024-10-02 20:32:29.439,25.0
58,V* V732 Her,2024-10-02 20:32:29.439,2024-10-02 20:32:54.439,25.0
59,V* V732 Her,2024-10-02 20:32:54.439,2024-10-02 20:33:19.439,25.0
60,V* V732 Her,2024-10-02 20:33:19.439,2024-10-02 20:33:44.439,25.0
61,V* V732 Her,2024-10-02 20:33:44.439,2024-10-02 20:34:09.439,25.0
62,V* V732 Her,2024-10-02 20:34:09.439,2024-10-02 20:34:34.439,25.0
63,V* V732 Her,2024-10-02 20:34:34.439,2024-10-02 20:34:59.439,25.0
64,V* V732 Her,2024-10-02 20:34:59.439,2024-10-02 20:35:24.439,25.0
65,V* V732 Her,2024-10-02 20:35:24.439,2024-10-02 20:35:49.439,25.0
66,V* V732 Her,2024-10-02 20:35:49.439,2024-10-02 20:36:14.439,25.0
67,V* V732 Her,2024-10-02 20:36:14.439,2024-10-02 20:36:39.439,25.0
68,V* V732 Her,2024-10-02 20:36:39.439,2024-10-02 20:37:04.439,25.0
69,V* V732 Her,2024-10-02 20:37:04.439,2024-10-02 20:37:29.439,25.0
70,V* V732 Her,2024-10-02 20:37:29.439,2024-10-02 20:37:54.439,25.0
71,V* V732 Her,2024-10-02 20:37:54.439,2024-10-02 20:38:19.439,25.0
72,V* V732 Her,2024-10-02 20:38:19.439,2024-10-02 20:38:44.439,25.0
73,V* V732 Her,2024-10-02 20:38:44.439,2024-10-02 20:39:09.439,25.0
74,V* V732 Her,2024-10-02 20:39:09.439,2024-10-02 20:39:34.439,25.0
75,V* V732 Her,2024-10-02 20:39:34.439,2024-10-02 20:39:59.439,25.0
76,V* V732 Her,2024-10-02 20:39:59.439,2024-10-02 20:40:24.439,25.0
77,V* V732 Her,2024-10-02 20:40:24.439,2024-10-02 20:40:49.439,25.0
78,V* V732 Her,2024-10-02 20:40:49.439,2024-10-02 20:41:14.439,25.0
79,V* V732 Her,2024-10-02 20:41:14.439,2024-10-02 20:41:39.439,25.0
80,V* V732 Her,2024-10-02 20:41:39.439,2024-10-02 20:42:04.439,25.0
81,V* V732 Her,2024-10-02 20:42:04.439,2024-10-02 20:42:29.439,25.0
82,V* V732 Her,2024-10-02 20:42:29.439,2024-10-02 20:42:54.439,25.0
83,V* V732 Her,2024-10-02 20:42:54.439,2024-10-02 20:43:19.439,25.0
84,V* V732 Her,2024-10-02 20:43:19.439,2024-10-02 20:43:44.439,25.0
85,V* V732 Her,2024-10-02 20:43:44.439,2024-10-02 20:44:09.439,25.0
86,V* V732 Her,2024-10-02 20:44:09.439,2024-10-02 20:44:34.439,25.0
87,V* V732 Her,2024-10-02 20:44:34.439,2024-10-02 20:44:59.439,25.0
88,V* V732 Her,2024-10-02 20:44:59.439,2024-10-02 20:45:24.439,25.0
89,V* V732 Her,2024-10-02 20:45:24.439,2024-10-02 20:45:49.439,25.0
90,V* V732 Her,2024-10-02 20:45:49.439,2024-10-02 20:46:14.439,25.0
91,V* V732 Her,2024-10-02 20:46:14.439,2024-10-02 20:46:39.439,25.0
92,V* V732 Her,2024-10-02 20:46:39.439,2024-10-02 20:47:04.439,25.0
93,V* V732 Her,2024-10-02 20:47:04.439,2024-10-02 20:47:29.439,25.0
94,V* V732 Her,2024-10-02 20:47:29.439,2024-10-02 20:47:54.439,25.0
95,V* V732 Her,2024-10-02 20:47:54.439,2024-10-02 20:48:19.439,25.0
96,V* V732 Her,2024-10-02 20:48:19.439,2024-10-02 20:48:44.439,25.0
97,V* V732 Her,2024-10-02 20:48:44.439,2024-10-02 20:49:09.439,25.0
98,V* V732 Her,2024-10-02 20:49:09.439,2024-10-02 20:49:34.439,25.0
